old_var_name,new_var_name
Q384_1,PAQ_1
Q384_2,PAQ_2
Q384_3,PAQ_3
Q384_4,PAQ_4
Q384_5,PAQ_5
Q384_6,PAQ_6
Q384_7,PAQ_7
Q384_8,PAQ_8
Q384_9,PAQ_9
Q384_10,PAQ_10
Q384_11,PAQ_11
Q384_12,PAQ_12
Q384_13,PAQ_13
Q384_14,PAQ_14
Q384_15,PAQ_15
Q384_16,PAQ_16
Q384_17,PAQ_17
Q384_18,PAQ_18
Q384_19,PAQ_19
Q384_20,PAQ_20
Q384_21,PAQ_21
Q384_22,PAQ_22
Q384_23,PAQ_23
Q384_24,PAQ_24
Q5,situation_1
Q19,situation_2
Q322,situation_3
Q326,situation_4
Q11,na_pre_1
Q20,na_pre_2
Q323,na_pre_3
Q327,na_pre_4
Q315,pa_pre_1
Q316,pa_pre_2
Q324,pa_pre_3
Q328,pa_pre_4
Q317,when_1
Q318,when_2
Q325,when_3
Q329,when_4
Q14,rethink_1
Q48,rethink_2
Q51,rethink_3
Q54,rethink_4
Q15,na_post_1
Q49,na_post_2
Q52,na_post_3
Q55,na_post_4
Q342,pa_post_1
Q344,pa_post_2
Q346,pa_post_3
Q347,pa_post_4
Q230,difficulty_1
Q231,difficulty_2
Q232,difficulty_3
Q233,difficulty_4
Q311,ac_text
